"fullname","motivation","surname","firstname","share","born","year","age","born_city","died","is_alive","category","born_country","gender","born_country_code","affiliation_city","affiliation","affiliation_country"
"Simon Kuznets","for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development","Kuznets","Simon","1","1901-04-30","1971","69","Pinsk","1985-07-08","false","economics","Russian Empire (now Belarus)","male","BY","Cambridge, MA","Harvard","USA"
"Pablo Neruda","for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams","Neruda","Pablo","1","1904-07-12","1971","66","Parral","1973-09-23","false","literature","Chile","male","CL","","none",""
"Earl W. Sutherland, Jr.","for his discoveries concerning the mechanisms of the action of hormones","Sutherland, Jr.","Earl W.","1","1915-11-19","1971","55","Burlingame, KS","1974-03-09","false","medicine","USA","male","US","Nashville, TN","Vanderbilt University","USA"
"Willy Brandt","","Brandt","Willy","1","1913-12-18","1971","57","Lübeck","1992-10-08","false","peace","Germany","male","DE","","none",""
"Dennis Gabor","for his invention and development of the holographic method","Gabor","Dennis","1","1900-06-05","1971","70","Budapest","1979-02-08","false","physics","Hungary","male","HU","London","Imperial College","United Kingdom"
"William H. Stein","for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule","Stein","William H.","4","1911-06-25","1972","60","New York, NY","1980-02-02","false","chemistry","USA","male","US","New York, NY","Rockefeller","USA"
"Christian B. Anfinsen","for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation","Anfinsen","Christian B.","2","1916-03-26","1972","55","Monessen, PA","1995-05-14","false","chemistry","USA","male","US","Bethesda, MD","National Institutes of Health","USA"
"Stanford Moore","for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule","Moore","Stanford","4","1913-09-04","1972","58","Chicago, IL","1982-08-23","false","chemistry","USA","male","US","New York, NY","Rockefeller","USA"
"John R. Hicks","for their pioneering contributions to general economic equilibrium theory and welfare theory","Hicks","John R.","2","1904-04-08","1972","67","Warwick","1989-05-20","false","economics","United Kingdom","male","GB","Oxford","All Souls College","United Kingdom"
"Kenneth J. Arrow","for their pioneering contributions to general economic equilibrium theory and welfare theory","Arrow","Kenneth J.","2","1921-08-23","1972","50","New York, NY","0000-00-00","true","economics","USA","male","US","Cambridge, MA","Harvard","USA"
"Heinrich Böll","for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature","Böll","Heinrich","1","1917-12-21","1972","54","Cologne","1985-07-16","false","literature","Germany","male","DE","","none",""
"Rodney R. Porter","for their discoveries concerning the chemical structure of antibodies","Porter","Rodney R.","2","1917-10-08","1972","54","Newton-le-Willows","1985-09-06","false","medicine","United Kingdom","male","GB","Oxford","University of Oxford","United Kingdom"
"Gerald M. Edelman","for their discoveries concerning the chemical structure of antibodies","Edelman","Gerald M.","2","1929-07-01","1972","42","New York, NY","2014-05-17","false","medicine","USA","male","US","New York, NY","Rockefeller","USA"
"John Bardeen","for their jointly developed theory of superconductivity, usually called the BCS-theory","Bardeen","John","3","1908-05-23","1972","63","Madison, WI","1991-01-30","false","physics","USA","male","US","Urbana, IL","University of Illinois","USA"
"Leon Neil Cooper","for their jointly developed theory of superconductivity, usually called the BCS-theory","Cooper","Leon Neil","3","1930-02-28","1972","41","New York, NY","0000-00-00","true","physics","USA","male","US","Providence, RI","Brown University","USA"
"John Robert Schrieffer","for their jointly developed theory of superconductivity, usually called the BCS-theory","Schrieffer","John Robert","3","1931-05-31","1972","40","Oak Park, IL","0000-00-00","true","physics","USA","male","US","Philadelphia, PA","University of Pennsylvania","USA"
"Geoffrey Wilkinson","for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds","Wilkinson","Geoffrey","2","1921-07-14","1973","51","Todmorden","1996-09-26","false","chemistry","United Kingdom","male","GB","London","Imperial College","United Kingdom"
"Ernst Otto Fischer","for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds","Fischer","Ernst Otto","2","1918-11-10","1973","54","Munich","2007-07-23","false","chemistry","Germany","male","DE","Munich","Technical University","Federal Republic of Germany"
"Wassily Leontief","for the development of the input-output method and for its application to important economic problems","Leontief","Wassily","1","1906-08-05","1973","66","St. Petersburg","1999-02-05","false","economics","Russia","male","RU","Cambridge, MA","Harvard","USA"
"Patrick White","for an epic and psychological narrative art which has introduced a new continent into literature","White","Patrick","1","1912-05-28","1973","60","London","1990-09-30","false","literature","United Kingdom","male","GB","","none",""
"Konrad Lorenz","for their discoveries concerning organization and elicitation of individual and social behaviour patterns","Lorenz","Konrad","3","1903-11-07","1973","69","Vienna","1989-02-27","false","medicine","Austria","male","AT","Altenberg; Grünau im Almtal","Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften, Forschungsstelle für Ethologie","Austria"
"Nikolaas Tinbergen","for their discoveries concerning organization and elicitation of individual and social behaviour patterns","Tinbergen","Nikolaas","3","1907-04-15","1973","65","the Hague","1988-12-21","false","medicine","the Netherlands","male","NL","Oxford","University of Oxford","United Kingdom"
"Karl von Frisch","for their discoveries concerning organization and elicitation of individual and social behaviour patterns","von Frisch","Karl","3","1886-11-20","1973","86","Vienna","1982-06-12","false","medicine","Austria","male","AT","Munich","Zoologisches Institut der Universität München","Federal Republic of Germany"
"Le Duc Tho ","","","Le Duc Tho","2","1911-10-14","1973","61","Nam Ha province","1990-10-13","false","peace","Vietnam","male","VN","","none",""
"Henry A. Kissinger","","Kissinger","Henry A.","2","1923-05-27","1973","49","Fürth","0000-00-00","true","peace","Germany","male","DE","","none",""
"Leo Esaki","for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively","Esaki","Leo","4","1925-03-12","1973","47","Osaka","0000-00-00","true","physics","Japan","male","JP","Yorktown Heights, NY","IBM Thomas J. Watson Research Center","USA"
"Brian David Josephson","for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects","Josephson","Brian David","2","1940-01-04","1973","32","Cardiff","0000-00-00","true","physics","United Kingdom","male","GB","Cambridge","Cambridge","United Kingdom"
"Ivar Giaever","for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively","Giaever","Ivar","4","1929-04-05","1973","43","Bergen","0000-00-00","true","physics","Norway","male","NO","Schenectady, NY","General Electric Company","USA"
"Paul J. Flory","for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules","Flory","Paul J.","1","1910-06-19","1974","63","Sterling, IL","1985-09-08","false","chemistry","USA","male","US","Stanford, CA","Stanford","USA"
"Gunnar Myrdal","for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena","Myrdal","Gunnar","2","1898-12-06","1974","75","Skattungbyn","1987-05-17","false","economics","Sweden","male","SE","","none",""
"Friedrich August von Hayek","for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena","von Hayek","Friedrich August","2","1899-05-08","1974","74","Vienna","1992-03-23","false","economics","Austria","male","AT","","none",""
"Harry Martinson","for writings that catch the dewdrop and reflect the cosmos","Martinson","Harry","2","1904-05-06","1974","69","Jämshög","1978-02-11","false","literature","Sweden","male","SE","","none",""
"Eyvind Johnson","for a narrative art, far-seeing in lands and ages, in the service of freedom","Johnson","Eyvind","2","1900-07-29","1974","73","Svartbjörnsbyn","1976-08-25","false","literature","Sweden","male","SE","","none",""
"George E. Palade","for their discoveries concerning the structural and functional organization of the cell","Palade","George E.","3","1912-11-19","1974","61","Iasi","2008-10-07","false","medicine","Romania","male","RO","New Haven, CT","Yale University, School of Medicine","USA"
"Christian de Duve","for their discoveries concerning the structural and functional organization of the cell","de Duve","Christian","3","1917-10-02","1974","56","Thames Ditton","2013-05-04","false","medicine","United Kingdom","male","GB","New York, NY","Rockefeller","USA"
"Albert Claude","for their discoveries concerning the structural and functional organization of the cell","Claude","Albert","3","1898-08-24","1974","75","Longlier","1983-05-22","false","medicine","Belgium","male","BE","Louvain","Université Catholique de Louvain","Belgium"
"Eisaku Sato","","Sato","Eisaku","2","1901-03-27","1974","72","Tabuse","1975-06-03","false","peace","Japan","male","JP","","none",""
"Seán MacBride","","MacBride","Seán","2","1904-01-26","1974","69","Paris","1988-01-15","false","peace","France","male","FR","","none",""
"Antony Hewish","for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars","Hewish","Antony","2","1924-05-11","1974","49","Fowey","0000-00-00","true","physics","United Kingdom","male","GB","Cambridge","Cambridge","United Kingdom"
"Sir Martin Ryle","for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars","Ryle","Sir Martin","2","1918-09-27","1974","55","Brighton","1984-10-14","false","physics","United Kingdom","male","GB","Cambridge","Cambridge","United Kingdom"
"John Warcup Cornforth","for his work on the stereochemistry of enzyme-catalyzed reactions","Cornforth","John Warcup","2","1917-09-07","1975","57","Sydney","2013-12-08","false","chemistry","Australia","male","AU","Brighton","University of Sussex","United Kingdom"
"Vladimir Prelog","for his research into the stereochemistry of organic molecules and reactions","Prelog","Vladimir","2","1906-07-23","1975","68","Sarajevo","1998-01-07","false","chemistry","Austria-Hungary (now Bosnia and Herzegovina)","male","BA","Zurich","Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology)","Switzerland"
"Leonid Vitaliyevich Kantorovich","for their contributions to the theory of optimum allocation of resources","Kantorovich","Leonid Vitaliyevich","2","1912-01-19","1975","62","St. Petersburg","1986-04-07","false","economics","Russian Empire (now Russia)","male","RU","Moscow","Academy of Sciences","USSR"
"Tjalling C. Koopmans","for their contributions to the theory of optimum allocation of resources","Koopmans","Tjalling C.","2","1910-08-28","1975","64","'s Graveland","1985-02-26","false","economics","the Netherlands","male","NL","New Haven, CT","Yale University","USA"
"Eugenio Montale","for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions","Montale","Eugenio","1","1896-10-12","1975","78","Genoa","1981-09-12","false","literature","Italy","male","IT","","none",""
"Howard Martin Temin","for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell","Temin","Howard Martin","3","1934-12-10","1975","40","Philadelphia, PA","1994-02-09","false","medicine","USA","male","US","Madison, WI","University of Wisconsin","USA"
"Renato Dulbecco","for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell","Dulbecco","Renato","3","1914-02-22","1975","60","Catanzaro","2012-02-19","false","medicine","Italy","male","IT","London","Imperial Cancer Research Fund Laboratory","United Kingdom"
"David Baltimore","for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell","Baltimore","David","3","1938-03-07","1975","36","New York, NY","0000-00-00","true","medicine","USA","male","US","Cambridge, MA","MIT","USA"
"Andrei Dmitrievich Sakharov","","Sakharov","Andrei Dmitrievich","1","1921-05-21","1975","53","Moscow","1989-12-14","false","peace","Russia","male","RU","","none",""
"Aage Niels Bohr","for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection","Bohr","Aage Niels","3","1922-06-19","1975","52","Copenhagen","2009-09-08","false","physics","Denmark","male","DK","Copenhagen","Niels Bohr Institute","Denmark"
"Ben Roy Mottelson","for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection","Mottelson","Ben Roy","3","1926-07-09","1975","48","Chicago, IL","0000-00-00","true","physics","USA","male","US","Copenhagen","Nordita","Denmark"
"Leo James Rainwater","for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection","Rainwater","Leo James","3","1917-12-09","1975","57","Council, ID","1986-03-31","false","physics","USA","male","US","New York, NY","Columbia","USA"
"William N. Lipscomb","for his studies on the structure of boranes illuminating problems of chemical bonding","Lipscomb","William N.","1","1919-12-09","1976","56","Cleveland, OH","2011-04-14","false","chemistry","USA","male","US","Cambridge, MA","Harvard","USA"
"Milton Friedman","for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy","Friedman","Milton","1","1912-07-31","1976","63","Brooklyn, NY","2006-11-16","false","economics","USA","male","US","Chicago, IL","University of Chicago","USA"
"Saul Bellow","for the human understanding and subtle analysis of contemporary culture that are combined in his work","Bellow","Saul","1","1915-06-10","1976","60","Montreal","2005-04-05","false","literature","Canada","male","CA","","none",""
"Baruch S. Blumberg","for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases","Blumberg","Baruch S.","2","1925-07-28","1976","50","New York, NY","2011-04-05","false","medicine","USA","male","US","Philadelphia, PA","The Institute for Cancer Research","USA"
"D. Carleton Gajdusek","for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases","Gajdusek","D. Carleton","2","1923-09-09","1976","52","Yonkers, NY","2008-12-12","false","medicine","USA","male","US","Bethesda, MD","National Institutes of Health","USA"
"Mairead Corrigan","","Corrigan","Mairead","2","1944-01-27","1976","31","Belfast","0000-00-00","true","peace","Northern Ireland","female","GB","","none",""
"Betty Williams","","Williams","Betty","2","1943-05-22","1976","32","Belfast","0000-00-00","true","peace","Northern Ireland","female","GB","","none",""
"Samuel Chao Chung Ting","for their pioneering work in the discovery of a heavy elementary particle of a new kind","Ting","Samuel Chao Chung","2","1936-01-27","1976","39","Ann Arbor, MI","0000-00-00","true","physics","USA","male","US","Cambridge, MA","MIT","USA"
"Burton Richter","for their pioneering work in the discovery of a heavy elementary particle of a new kind","Richter","Burton","2","1931-03-22","1976","44","Brooklyn, NY","0000-00-00","true","physics","USA","male","US","Stanford, CA","Stanford","USA"
"Ilya Prigogine","for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures","Prigogine","Ilya","1","1917-01-25","1977","59","Moscow","2003-05-28","false","chemistry","Russia","male","RU","Austin, TX","University of Texas","USA"
"James E. Meade","for their pathbreaking contribution to the theory of international trade and international capital movements","Meade","James E.","2","1907-06-23","1977","69","Swanage","1995-12-22","false","economics","United Kingdom","male","GB","Cambridge","Cambridge","United Kingdom"
"Bertil Ohlin","for their pathbreaking contribution to the theory of international trade and international capital movements","Ohlin","Bertil","2","1899-04-23","1977","77","Klippan","1979-08-03","false","economics","Sweden","male","SE","Stockholm","Stockholm School of Economics","Sweden"
"Vicente Aleixandre","for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars","Aleixandre","Vicente","1","1898-04-26","1977","78","Sevilla","1984-12-14","false","literature","Spain","male","ES","","none",""
"Rosalyn Yalow","for the development of radioimmunoassays of peptide hormones","Yalow","Rosalyn","2","1921-07-19","1977","55","New York, NY","2011-05-30","false","medicine","USA","female","US","Bronx, NY","Veterans Administration Hospital","USA"
"Roger Guillemin","for their discoveries concerning the peptide hormone production of the brain","Guillemin","Roger","4","1924-01-11","1977","52","Dijon","0000-00-00","true","medicine","France","male","FR","San Diego, CA","The Salk Institute","USA"
"Andrew V. Schally","for their discoveries concerning the peptide hormone production of the brain","Schally","Andrew V.","4","1926-11-30","1977","50","Wilno (now Vilnius)","0000-00-00","true","medicine","Poland (now Lithuania)","male","LT","New Orleans, LA","Veterans Administration Hospital","USA"
"Sir Nevill Francis Mott","for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems","Mott","Sir Nevill Francis","3","1905-09-30","1977","71","Leeds","1996-08-08","false","physics","United Kingdom","male","GB","Cambridge","Cambridge","United Kingdom"
"John Hasbrouck van Vleck","for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems","van Vleck","John Hasbrouck","3","1899-03-13","1977","77","Middletown, CT","1980-10-27","false","physics","USA","male","US","Cambridge, MA","Harvard","USA"
"Philip Warren Anderson","for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems","Anderson","Philip Warren","3","1923-12-13","1977","53","Indianapolis, IN","0000-00-00","true","physics","USA","male","US","Murray Hill, NJ","Bell Telephone Laboratories","USA"
"Peter D. Mitchell","for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory","Mitchell","Peter D.","1","1920-09-29","1978","57","Mitcham","1992-04-10","false","chemistry","United Kingdom","male","GB","Bodmin","Glynn Research Laboratories","United Kingdom"
"Herbert A. Simon","for his pioneering research into the decision-making process within economic organizations","Simon","Herbert A.","1","1916-06-15","1978","61","Milwaukee, WI","2001-02-09","false","economics","USA","male","US","Pittsburgh, PA","Carnegie Mellon University","USA"
"Isaac Bashevis Singer","for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life","Singer","Isaac Bashevis","1","1904-07-14","1978","73","Leoncin","1991-07-24","false","literature","Russian Empire (now Poland)","male","PL","","none",""
"Werner Arber","for the discovery of restriction enzymes and their application to problems of molecular genetics","Arber","Werner","3","1929-06-03","1978","48","Gränichen","0000-00-00","true","medicine","Switzerland","male","CH","Basel","Biozentrum der Universität","Switzerland"
"Hamilton O. Smith","for the discovery of restriction enzymes and their application to problems of molecular genetics","Smith","Hamilton O.","3","1931-08-23","1978","46","New York, NY","0000-00-00","true","medicine","USA","male","US","Baltimore, MD","Johns Hopkins University School of Medicine","USA"
"Daniel Nathans","for the discovery of restriction enzymes and their application to problems of molecular genetics","Nathans","Daniel","3","1928-10-30","1978","49","Wilmington, DE","1999-11-16","false","medicine","USA","male","US","Baltimore, MD","Johns Hopkins University School of Medicine","USA"
"Menachem Begin","","Begin","Menachem","2","1913-08-16","1978","64","Brest Litovsk","1992-03-09","false","peace","Russian Empire (now Belarus)","male","BY","","none",""
"Mohamed Anwar al-Sadat","","al-Sadat","Mohamed Anwar","2","1918-12-25","1978","59","Mit Abu al-Kawm","1981-10-06","false","peace","Egypt","male","EG","","none",""
"Arno Allan Penzias","for their discovery of cosmic microwave background radiation","Penzias","Arno Allan","4","1933-04-26","1978","44","Munich","0000-00-00","true","physics","Germany","male","DE","Holmdel, NJ","Bell Laboratories","USA"
"Robert Woodrow Wilson","for their discovery of cosmic microwave background radiation","Wilson","Robert Woodrow","4","1936-01-10","1978","41","Houston, TX","0000-00-00","true","physics","USA","male","US","Holmdel, NJ","Bell Laboratories","USA"
"Pyotr Leonidovich Kapitsa","for his basic inventions and discoveries in the area of low-temperature physics","Kapitsa","Pyotr Leonidovich","2","1894-07-09","1978","83","Kronshtadt","1984-04-08","false","physics","Russian Empire (now Russia)","male","RU","Moscow","Academy of Sciences","USSR"
"Georg Wittig","for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis","Wittig","Georg","2","1897-06-16","1979","81","Berlin","1987-08-26","false","chemistry","Germany","male","DE","Heidelberg","University of Heidelberg","Federal Republic of Germany"
"Herbert C. Brown","for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis","Brown","Herbert C.","2","1912-05-22","1979","66","London","2004-12-19","false","chemistry","United Kingdom","male","GB","West Lafayette, IN","Purdue University","USA"
"Sir Arthur Lewis","for their pioneering research into economic development research with particular consideration of the problems of developing countries","Lewis","Sir Arthur","2","1915-01-23","1979","63","Castries","1991-06-15","false","economics","British West Indies (now Saint Lucia)","male","LC","Princeton, NJ","Princeton University","USA"
"Theodore W. Schultz","for their pioneering research into economic development research with particular consideration of the problems of developing countries","Schultz","Theodore W.","2","1902-04-30","1979","76","Arlington, SD","1998-02-26","false","economics","USA","male","US","Chicago, IL","University of Chicago","USA"
"Odysseus Elytis","for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness","Elytis","Odysseus","1","1911-11-02","1979","67","Iráklion","1996-03-18","false","literature","Crete (now Greece)","male","GR","","none",""
"Allan M. Cormack","for the development of computer assisted tomography","Cormack","Allan M.","2","1924-02-23","1979","54","Johannesburg","1998-05-07","false","medicine","South Africa","male","ZA","Medford, MA","Tufts University","USA"
"Godfrey N. Hounsfield","for the development of computer assisted tomography","Hounsfield","Godfrey N.","2","1919-08-28","1979","59","Newark","2004-08-12","false","medicine","United Kingdom","male","GB","London","Central Research Laboratories, EMI","United Kingdom"
"Mother Teresa ","","","Mother Teresa","1","1910-08-26","1979","68","Uskup (now Skopje)","1997-09-05","false","peace","Ottoman Empire (now Republic of Macedonia)","female","MK","","none",""
"Sheldon Lee Glashow","for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current","Glashow","Sheldon Lee","3","1932-12-05","1979","46","New York, NY","0000-00-00","true","physics","USA","male","US","Cambridge, MA","Harvard","USA"
"Steven Weinberg","for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current","Weinberg","Steven","3","1933-05-03","1979","45","New York, NY","0000-00-00","true","physics","USA","male","US","Cambridge, MA","Harvard","USA"
"Abdus Salam","for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current","Salam","Abdus","3","1926-01-29","1979","52","Jhang Maghi&#257;na","1996-11-21","false","physics","India (now Pakistan)","male","PK","Trieste","International Centre for Theoretical Physics","Italy"
"Frederick Sanger","for their contributions concerning the determination of base sequences in nucleic acids","Sanger","Frederick","4","1918-08-13","1980","61","Rendcombe","2013-11-19","false","chemistry","United Kingdom","male","GB","Cambridge","Cambridge","United Kingdom"
"Walter Gilbert","for their contributions concerning the determination of base sequences in nucleic acids","Gilbert","Walter","4","1932-03-21","1980","47","Boston, MA","0000-00-00","true","chemistry","USA","male","US","Cambridge, MA","Harvard","USA"
"Paul Berg","for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA","Berg","Paul","2","1926-06-30","1980","53","New York, NY","0000-00-00","true","chemistry","USA","male","US","Stanford, CA","Stanford","USA"
"Lawrence R. Klein","for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies","Klein","Lawrence R.","1","1920-09-14","1980","59","Omaha, NE","2013-10-20","false","economics","USA","male","US","Philadelphia, PA","University of Pennsylvania","USA"
"Czeslaw Milosz","who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts","Milosz","Czeslaw","1","1911-06-30","1980","68","&#346;eteniai","2004-08-14","false","literature","Russian Empire (now Lithuania)","male","LT","","none",""
"Baruj Benacerraf","for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions","Benacerraf","Baruj","3","1920-10-29","1980","59","Caracas","2011-08-02","false","medicine","Venezuela","male","VE","Boston, MA","Harvard","USA"
"George D. Snell","for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions","Snell","George D.","3","1903-12-19","1980","76","Bradford, MA","1996-06-06","false","medicine","USA","male","US","Bar Harbor, ME","Jackson Laboratory","USA"
"Jean Dausset","for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions","Dausset","Jean","3","1916-10-19","1980","63","Toulouse","2009-06-06","false","medicine","France","male","FR","Paris","Université de Paris, Laboratoire Immuno-Hématologie","France"
"Adolfo Pérez Esquivel","","Pérez Esquivel","Adolfo","1","1931-11-26","1980","48","Buenos Aires","0000-00-00","true","peace","Argentina","male","AR","","none",""
"Val Logsdon Fitch","for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons","Fitch","Val Logsdon","2","1923-03-10","1980","56","Merriman, NE","2015-02-05","false","physics","USA","male","US","Princeton, NJ","Princeton University","USA"
"James Watson Cronin","for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons","Cronin","James Watson","2","1931-09-29","1980","48","Chicago, IL","0000-00-00","true","physics","USA","male","US","Chicago, IL","University of Chicago","USA"
"Kenichi Fukui","for their theories, developed independently, concerning the course of chemical reactions","Fukui","Kenichi","2","1918-10-04","1981","62","Nara","1998-01-09","false","chemistry","Japan","male","JP","Kyoto","Kyoto University","Japan"
"Roald Hoffmann","for their theories, developed independently, concerning the course of chemical reactions","Hoffmann","Roald","2","1937-07-18","1981","43","Zloczov","0000-00-00","true","chemistry","Poland (now Ukraine)","male","UA","Ithaca, NY","Cornell University","USA"
"James Tobin","for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices","Tobin","James","1","1918-03-05","1981","62","Champaign, IL","2002-03-11","false","economics","USA","male","US","New Haven, CT","Yale University","USA"
"Elias Canetti","for writings marked by a broad outlook, a wealth of ideas and artistic power","Canetti","Elias","1","1905-07-25","1981","75","Ruse","1994-08-14","false","literature","Bulgaria","male","BG","","none",""
"Roger W. Sperry","for his discoveries concerning the functional specialization of the cerebral hemispheres","Sperry","Roger W.","2","1913-08-20","1981","67","Hartford, CT","1994-04-17","false","medicine","USA","male","US","Pasadena, CA","Caltech","USA"
"Torsten N. Wiesel","for their discoveries concerning information processing in the visual system","Wiesel","Torsten N.","4","1924-06-03","1981","56","Uppsala","0000-00-00","true","medicine","Sweden","male","SE","Boston, MA","Harvard","USA"
"David H. Hubel","for their discoveries concerning information processing in the visual system","Hubel","David H.","4","1926-02-27","1981","54","Windsor, ON","2013-09-22","false","medicine","Canada","male","CA","Boston, MA","Harvard","USA"
"Arthur Leonard Schawlow","for their contribution to the development of laser spectroscopy","Schawlow","Arthur Leonard","4","1921-05-05","1981","59","Mount Verno, NY","1999-04-28","false","physics","USA","male","US","Stanford, CA","Stanford","USA"
"Kai M. Siegbahn","for his contribution to the development of high-resolution electron spectroscopy","Siegbahn","Kai M.","2","1918-04-20","1981","62","Lund","2007-07-20","false","physics","Sweden","male","SE","Uppsala","Uppsala University","Sweden"
"Nicolaas Bloembergen","for their contribution to the development of laser spectroscopy","Bloembergen","Nicolaas","4","1920-03-11","1981","60","Dordrecht","0000-00-00","true","physics","the Netherlands","male","NL","Cambridge, MA","Harvard","USA"
"Aaron Klug","for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes","Klug","Aaron","1","1926-08-11","1982","55","Zelvas","0000-00-00","true","chemistry","Lithuania","male","LT","Cambridge","MRC Laboratory of Molecular Biology","United Kingdom"
"George J. Stigler","for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation","Stigler","George J.","1","1911-01-17","1982","70","Renton, WA","1991-12-01","false","economics","USA","male","US","Chicago, IL","University of Chicago","USA"
"Gabriel García Márquez","for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts","García Márquez","Gabriel","1","1927-03-06","1982","54","Aracataca","2014-04-17","false","literature","Colombia","male","CO","","none",""
"Sune K. Bergström","for their discoveries concerning prostaglandins and related biologically active substances","Bergström","Sune K.","3","1916-01-10","1982","65","Stockholm","2004-08-15","false","medicine","Sweden","male","SE","Stockholm","Karolinska Institutet","Sweden"
"Bengt I. Samuelsson","for their discoveries concerning prostaglandins and related biologically active substances","Samuelsson","Bengt I.","3","1934-05-21","1982","47","Halmstad","0000-00-00","true","medicine","Sweden","male","SE","Stockholm","Karolinska Institutet","Sweden"
"John R. Vane","for their discoveries concerning prostaglandins and related biologically active substances","Vane","John R.","3","1927-03-29","1982","54","Tardebigg","2004-11-19","false","medicine","United Kingdom","male","GB","Beckenham","The Wellcome Research Laboratories","United Kingdom"
"Alva Myrdal","","Myrdal","Alva","2","1902-01-31","1982","79","Uppsala","1986-02-01","false","peace","Sweden","female","SE","","none",""
"Alfonso García Robles","","García Robles","Alfonso","2","1911-03-20","1982","70","Zamora","1991-09-02","false","peace","Mexico","male","MX","","none",""
"Kenneth G. Wilson","for his theory for critical phenomena in connection with phase transitions","Wilson","Kenneth G.","1","1936-06-08","1982","45","Waltham, MA","2013-06-15","false","physics","USA","male","US","Ithaca, NY","Cornell University","USA"
"Henry Taube","for his work on the mechanisms of electron transfer reactions, especially in metal complexes","Taube","Henry","1","1915-11-30","1983","67","Neudorf","2005-11-16","false","chemistry","Canada","male","CA","Stanford, CA","Stanford","USA"
